FORWARD_TEXT_FORMAT_1.0
STDEP =  2325.0000
ENDEP =  3749.5000
RLEV  =     0.1250
CURVENAME =  GR, SP, CALI, C13, C24, RT, RI, RXO, AC, CNL, DEN, SH, POR, GR_CMR, CMRP_A, CMEF_17, CMFF_6, CMFF_20, KTIM_20, KSDR_20, SO, DEVI, AZIM
END
#DEPTH            GR         SP       CALI        C13        C24         RT         RI        RXO         AC        CNL        DEN         SH        POR     GR_CMR     CMRP_A    CMEF_17     CMFF_6    CMFF_20    KTIM_20    KSDR_20         SO       DEVI       AZIM
2325.0000      69.740    -16.804      1.661      1.661      2.078   1732.661      1.127      0.698     93.551     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.633
2325.1250      72.204    -16.904      1.661      1.661      2.079   1713.546      3.886      0.698     94.077     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.033
2325.2500      72.677    -17.012      1.659      1.659      2.079   1708.657      3.133      0.698     94.564     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.090
2325.3750      72.000    -17.103      1.656      1.656      2.079   1685.324      4.127      0.698     96.647     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.367
2325.5000      70.897    -17.162      1.654      1.654      2.079   1641.685      3.619      0.698     99.814     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.613    296.049
2325.6250      69.845    -17.177      1.653      1.653      2.079   1609.360      1.093      0.698    102.277     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    297.020
2325.7500      68.933    -17.144      1.653      1.653      2.079   1650.509      1.092      0.698    101.349     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    297.680
2325.8750      68.024    -17.054      1.654      1.654      2.079   1685.605      1.035      0.698     99.916     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    298.220
2326.0000      68.249    -16.938      1.656      1.656      2.079   1725.645      1.009      0.698     99.500     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.615    299.106
2326.1250      68.928    -16.841      1.659      1.659      2.079   1738.934      0.898      0.698     96.558     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.613    297.671
2326.2500      70.347    -16.829      1.661      1.661      2.079   1727.951      1.807      0.698     93.681     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.485
2326.3750      72.480    -16.930      1.661      1.661      2.079   1711.203      3.981      0.698     94.200     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    294.994
2326.5000      72.741    -17.038      1.658      1.658      2.079   1707.824      2.856      0.698     94.683     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.122
2326.6250      71.727    -17.123      1.655      1.655      2.079   1677.311      4.612      0.698     97.342     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.452
2326.7500      70.626    -17.169      1.653      1.653      2.079   1627.787      2.793      0.698    100.693     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.613    296.313
2326.8750      69.620    -17.170      1.653      1.653      2.079   1619.541      1.093      0.698    102.052     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    297.183
2327.0000      68.709    -17.121      1.653      1.653      2.079   1659.157      1.078      0.698    100.996     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    297.813
2327.1250      67.921    -17.026      1.655      1.655      2.079   1694.248      1.014      0.698     99.367     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    298.207
2327.2500      69.222    -16.825      1.660      1.660      2.079   1729.248      0.820      0.698     94.318     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    296.061
2327.3750      71.494    -16.875      1.661      1.661      2.079   1719.051      3.091      0.698     93.925     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.206
2327.5000      72.602    -16.980      1.659      1.659      2.079   1709.630      3.457      0.698     94.425     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.054
